OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV17740,Eukaryota,Unidentified,Unidentified,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
ASV17743,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV17744,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ASV17746,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sinomuralis
ASV17747,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima
ASV1775,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Boloceroididae,Bunodeopsis,Bunodeopsis medusoides
ASV17751,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Orthopyxis,Orthopyxis integra
ASV17753,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite
ASV17756,Eukaryota,Arthropoda,Insecta,Hemiptera,Cicadellidae,Empoasca,Empoasca sp. BIOUG21677-D09
ASV17757,Eukaryota,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Albinaria,Albinaria schuchii
ASV17758,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV17759,Eukaryota,Unidentified,Chrysophyceae,Unidentified,Unidentified,Unidentified,Chrysophyceae sp.
ASV1776,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV17761,Eukaryota,Arthropoda,Insecta,Hemiptera,Clastopteridae,Clastoptera,Clastoptera obtusa
ASV17766,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ATCC 30562
ASV17767,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium brassicum
ASV17768,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,Pelagia sp. Plg_P5
ASV17771,Eukaryota,Unidentified,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia litoralis
ASV17772,Eukaryota,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Caprella californica
ASV17777,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha
ASV17779,Eukaryota,Unidentified,Dictyochophyceae,Florenciellales,Unidentified,Florenciella,Florenciella parvula
ASV17780,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Unidentified,Opiinae sp. BOLD-2016
ASV17781,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea,Mayamaea permitis
ASV17782,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,Neocalanus robustior
ASV17783,Eukaryota,Chordata,Mammalia,Primates,Lepilemuridae,Lepilemur,Lepilemur seali
ASV17785,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV17791,Eukaryota,Arthropoda,Insecta,Hemiptera,Unidentified,Unidentified,Hemiptera sp. BIOUG03768-E03
ASV17795,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Unidentified,Emericellopsis,Emericellopsis minima
ASV17798,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora sp. cuyabensis
ASV17799,Eukaryota,Arthropoda,Insecta,Diptera,Agromyzidae,Pseudonapomyza,Pseudonapomyza lacteipennis
ASV17801,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides pteronyssinus
ASV17804,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sinomuralis
ASV17809,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV17810,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Onchocerca sp.
ASV17812,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV17814,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium valky
ASV17817,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona pigmentifera
ASV17820,Eukaryota,Arthropoda,Arachnida,Araneae,Theridiidae,Pholcomma,Pholcomma gibbum
ASV17821,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Pseudoperonospora,Pseudoperonospora cannabina
ASV17823,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Rhodoptilum,Rhodoptilum plumosum
ASV17825,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV17827,Eukaryota,Arthropoda,Insecta,Diptera,Dolichopodidae,Sympycnus,Sympycnus lineatus
ASV17829,Eukaryota,Rotifera,Monogononta,Ploima,Dicranophoridae,Dicranophorus,Dicranophorus forcipatus
ASV1783,Eukaryota,Unidentified,Oomycetes,Unidentified,Unidentified,Haptoglossa,Haptoglossa sp. DM2 4/12
ASV17834,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis tropicalis
ASV1784,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV17841,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora bantiana
ASV17843,Eukaryota,Porifera,Demospongiae,Verongiida,Aplysinidae,Verongula,Verongula reiswigi
ASV17845,Eukaryota,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,Arthonia susa
ASV17846,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV17849,Eukaryota,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Pugettia producta
ASV1785,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Enoplosidae,Enoplosus,Enoplosus armatus
ASV17852,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas sp.
ASV17856,Eukaryota,Ascomycota,Leotiomycetes,Unidentified,Unidentified,Leohumicola,Leohumicola levissima
ASV17858,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ArM0029B
ASV17859,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica
ASV17865,Eukaryota,Unidentified,Unidentified,Choanoflagellida,Salpingoecidae,Monosiga,Monosiga brevicollis
ASV17870,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV17871,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Oceaniidae,Cordylophora,Cordylophora sp. IM1
ASV17875,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV1788,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia setacea
ASV17881,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV17883,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,Fistulifera pelliculosa
ASV17885,Eukaryota,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,Pedinomonas minor
ASV17886,Eukaryota,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla spectabilis
ASV17888,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Zancleidae,Zanclea,Zanclea implexa
ASV17889,Eukaryota,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,Pedinomonas minor
ASV1789,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV17892,Eukaryota,Arthropoda,Arachnida,Mesostigmata,Zerconidae,Unidentified,Zerconidae sp. BIOUG26189-D02
ASV17897,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter ishigakiensis
ASV17898,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV17899,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,Synchaeta sp. WM-2017a
ASV1790,Eukaryota,Arthropoda,Insecta,Trichoptera,Calamoceratidae,Phylloicus,Phylloicus holzenthali
ASV17901,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Eucheilota,Eucheilota sp. JRH-2014
ASV17902,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis tropicalis
ASV17905,Eukaryota,Ascomycota,Leotiomycetes,Unidentified,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus destructans
ASV17909,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Unidentified,Opiinae sp. BOLD-2016
ASV17910,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypoleria,Hypoleria adasa
ASV17913,Eukaryota,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,Aplysina archeri
ASV17915,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhinidae,Rhina,Rhina ancylostoma
ASV17923,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Chordariaceae,Spermatochnus,Spermatochnus paradoxus
ASV17927,Eukaryota,Arthropoda,Insecta,Lepidoptera,Saturniidae,Pseudodirphia,Pseudodirphia obguayana
ASV17929,Eukaryota,Arthropoda,Insecta,Lepidoptera,Geometridae,Scopula,Scopula submutata
ASV1793,Eukaryota,Unidentified,Unidentified,Himatismenida,Cochliopodiidae,Cochliopodium,Cochliopodium minutoidum
ASV17930,Eukaryota,Arthropoda,Insecta,Coleoptera,Latridiidae,Unidentified,Latridiidae sp. INDOBIOSYS-CCDB26003-F05
ASV17931,Eukaryota,Arthropoda,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,Brachistosternus angustimanus
ASV17932,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia decumbens
ASV17939,Eukaryota,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycerella,Glycerella magellanica
ASV17940,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus alpestris
ASV17946,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV1795,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV17959,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV17960,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV17961,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV17963,Eukaryota,Porifera,Demospongiae,Verongiida,Pseudoceratinidae,Pseudoceratina,Pseudoceratina purpurea
ASV17965,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia alba
ASV17969,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Eirenidae,Eirene,Eirene viridula
ASV17979,Eukaryota,Arthropoda,Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza spondylii
ASV17986,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Euthora,Euthora timburtonii
ASV17988,Eukaryota,Arthropoda,Insecta,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa
ASV17990,Eukaryota,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca arctoides
ASV17991,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,Unidentified,Staphylinidae sp. BOLD:ACE1433
ASV17992,Eukaryota,Arthropoda,Arachnida,Opiliones,Pettalidae,Rakaia,Rakaia antipodiana
ASV17993,Eukaryota,Arthropoda,Insecta,Lepidoptera,Unidentified,Unidentified,Lepidoptera sp. BOLD:AAC1172
ASV17994,Eukaryota,Mollusca,Bivalvia,Unionoida,Unionidae,Unionetta,Unionetta fabagina
ASV17999,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV18000,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ArM0029B
ASV18002,Eukaryota,Mollusca,Gastropoda,Stylommatophora,Helicarionidae,Nitor,Nitor subrugatus
ASV18005,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ArM0029B
ASV18007,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV18009,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Katsuwonus,Katsuwonus pelamis
ASV18012,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
ASV18013,Eukaryota,Unidentified,Unidentified,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
ASV18019,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon primus
ASV1802,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula vulgaris
ASV18020,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV18022,Eukaryota,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae,Unidentified,Brachychthoniidae sp. BOLD:AAW0382
ASV18025,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Nannochloris,Nannochloris sp. MBTD-CMFRI-S048
ASV18027,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. ShG4C
ASV18029,Eukaryota,Arthropoda,Insecta,Diptera,Streblidae,Strebla,Strebla wiedemanni
ASV1803,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV18030,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Pristidae,Anoxypristis,Anoxypristis cuspidata
ASV18038,Eukaryota,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia cf. pseudotoxa LNP-2018
ASV1804,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,Fistulifera pelliculosa
ASV18040,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium brassicum
ASV18041,Eukaryota,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus anthracinus
ASV18042,Eukaryota,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,Amphiroa sp. 1 BNTS-2018
ASV18046,Eukaryota,Arthropoda,Arachnida,Opiliones,Pettalidae,Rakaia,Rakaia antipodiana
ASV18048,Eukaryota,Unidentified,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,Durinskia baltica
ASV18049,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Unionicolidae,Unionicola,Unionicola sp. BIOUG09595-F08
ASV1805,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus taeniatus
ASV18051,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica
ASV18052,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Parapristipoma,Parapristipoma trilineatum
ASV18054,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Gliomastix,Gliomastix murorum
ASV18055,Eukaryota,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,Unidentified,Proctotrupidae sp. BBHYK919-10
ASV18057,Eukaryota,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Mimeoma,Mimeoma maculata
ASV18058,Eukaryota,Unidentified,Unidentified,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba lenticulata
ASV18060,Eukaryota,Arthropoda,Insecta,Diptera,Agromyzidae,Calycomyza,Calycomyza majuscula
ASV18063,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys rosea
ASV18064,Eukaryota,Ascomycota,Leotiomycetes,Unidentified,Unidentified,Leohumicola,Leohumicola sp. DAOM 231148
ASV18067,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Prototheca,Prototheca zopfii
ASV1807,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii
ASV18070,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima
ASV18074,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus circumdatus
ASV18078,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa zea
ASV1808,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca fusiformis
ASV18081,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV18085,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Sarocladiaceae,Sarocladium,Sarocladium implicatum
ASV18088,Eukaryota,Unidentified,Unidentified,Unidentified,Vannellidae,Vannella,Vannella sp.
ASV18099,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV1810,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
ASV18105,Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium nonalfalfae
ASV18106,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Euchaeta,Euchaeta rimana
ASV18108,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne tricycla
ASV1811,Eukaryota,Chordata,Actinopteri,Characiformes,Parodontidae,Apareiodon,Apareiodon affinis
ASV18110,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Pseudojuloides,Pseudojuloides sp. LIDMA2427-15
ASV18111,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Amphidomataceae,Azadinium,Azadinium poporum
ASV18113,Eukaryota,Unidentified,Dictyochophyceae,Florenciellales,Unidentified,Florenciella,Florenciella parvula
ASV18115,Eukaryota,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyia,Forcipomyia sp. BOLD-2016
ASV18117,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetraponera,Tetraponera sp. BOLD:AAB0693
ASV18119,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV18128,Eukaryota,Arthropoda,Insecta,Diptera,Sphaeroceridae,Rachispoda,Rachispoda sp. JSDIP152-10
ASV18132,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Nannochloris,Nannochloris sp. MBTD-CMFRI-S048
ASV18133,Eukaryota,Unidentified,Eustigmatophyceae,Goniochloridales,Unidentified,Trachydiscus,Trachydiscus minutus
ASV18134,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii
ASV18136,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera kereti
ASV18137,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Unidentified,Emericellopsis,Emericellopsis minima
ASV18139,Eukaryota,Unidentified,Unidentified,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni
ASV1814,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV18142,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ArM0029B
ASV18145,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV18146,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira undulata
ASV18149,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,Epinephelus coeruleopunctatus
ASV18153,Eukaryota,Unidentified,Unidentified,Unidentified,Paramoebidae,Paramoeba,Paramoeba pemaquidensis
ASV18154,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ATCC 30562
ASV18156,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula ramosissima
ASV18158,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ArM0029B
ASV1816,Eukaryota,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Piestoceros,Piestoceros sp. ANIC5
ASV18163,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii
ASV18164,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,Mastocarpus pacificus
ASV18165,Eukaryota,Arthropoda,Malacostraca,Decapoda,Majidae,Microphrys,Microphrys bicornutus
ASV18167,Eukaryota,Unidentified,Katablepharidophyta,Unidentified,Katablepharidaceae,Leucocryptos,Leucocryptos marina
ASV18168,Eukaryota,Mollusca,Gastropoda,Pteropoda,Creseidae,Creseis,Creseis clava
ASV18169,Eukaryota,Unidentified,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium deciduum
ASV1817,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis guyunusae
ASV18172,Eukaryota,Arthropoda,Insecta,Diptera,Limoniidae,Ormosia,Ormosia sp. BOLD:ACA9663
ASV18174,Eukaryota,Arthropoda,Insecta,Hemiptera,Cicadidae,Calliopsida,Calliopsida cinnabarina
ASV18177,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum
ASV18179,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV1818,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Caesio,Caesio cuning
ASV18180,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Zancleidae,Zanclea,Zanclea implexa
ASV18183,Eukaryota,Unidentified,Oomycetes,Unidentified,Unidentified,Haptoglossa,Haptoglossa sp. DM2 4/12
ASV18188,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles insulaeflorum
ASV18190,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera abyssalis
ASV18192,Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo cuvier
ASV18197,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV18198,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV18199,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,Stephanodiscus cf. minutulus
ASV18201,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Amphidomataceae,Azadinium,Azadinium poporum
ASV18202,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium sp. WJB-1
ASV18204,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV18205,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV18206,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia majuscula
ASV18211,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,Parastagonospora nodorum
ASV18213,Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria graminis
ASV18216,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lobactis,Lobactis scutaria
ASV18217,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV18219,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus pavo
ASV1822,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV18220,Eukaryota,Arthropoda,Malacostraca,Decapoda,Atyidae,Caridina,Caridina cantonensis
ASV18223,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV18227,Eukaryota,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema parvulum
ASV1823,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Plectropomus,Plectropomus sp. BOLD:AAD0971
ASV18232,Eukaryota,Arthropoda,Arachnida,Pseudoscorpiones,Neobisiidae,Bisetocreagris,Bisetocreagris sp. 2 JA-2011
ASV18234,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV18238,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV1824,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
